
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:49667             [::]:0                 LISTENING       3392
  TCP    [::]:49668             [::]:0                 LISTENING       4432
  TCP    [::]:49673             [::]:0                 LISTENING       1456
  TCP    [::1]:42050            [::]:0                 LISTENING       17836
  UDP    0.0.0.0:5050           *:*                                    9404
  UDP    0.0.0.0:5353           *:*                                    14564
  UDP    0.0.0.0:5353           *:*                                    2324
  UDP    0.0.0.0:5353           *:*                                    2208
  UDP    0.0.0.0:5353           *:*                                    2324
  UDP    0.0.0.0:5353           *:*                                    14564
  UDP    0.0.0.0:5353           *:*                                    2324
  UDP    0.0.0.0:5353           *:*                                    2324
  UDP    0.0.0.0:5353           *:*                                    14564
  UDP    0.0.0.0:5353           *:*                                    14564
  UDP    0.0.0.0:5355           *:*                                    2208
  UDP    0.0.0.0:50083          *:*                                    12176
  UDP    0.0.0.0:50498          *:*                                    2208
  UDP    0.0.0.0:52862          *:*                                    2208
  UDP    0.0.0.0:55256          *:*                                    2208
  UDP    0.0.0.0:59736          *:*                                    2208
  UDP    0.0.0.0:65426          *:*                                    2208
  UDP    127.0.0.1:1900         *:*                                    10632
  UDP    127.0.0.1:55106        *:*                                    10632
  UDP    127.0.0.1:55920        127.0.0.1:55920                        4968
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    10632
  UDP    192.168.56.1:55104     *:*                                    10632
  UDP    192.168.170.64:137     *:*                                    4
  UDP    192.168.170.64:138     *:*                                    4
  UDP    192.168.170.64:1900    *:*                                    10632
  UDP    192.168.170.64:55105   *:*                                    10632
  UDP    [::]:5353              *:*                                    2324
  UDP    [::]:5353              *:*                                    2324
  UDP    [::]:5353              *:*                                    14564
  UDP    [::]:5353              *:*                                    2208
  UDP    [::]:5353              *:*                                    14564
  UDP    [::]:5355              *:*                                    2208
  UDP    [::]:50083             *:*                                    12176
  UDP    [::]:50498             *:*                                    2208
  UDP    [::]:52862             *:*                                    2208
  UDP    [::]:55256             *:*                                    2208
  UDP    [::]:59736             *:*                                    2208
  UDP    [::]:65426             *:*                                    2208
  UDP    [::1]:1900             *:*                                    10632
  UDP    [::1]:55103            *:*                                    10632
  UDP    [fe80::f48:4582:2004:b977%4]:1900  *:*                                    10632
  UDP    [fe80::f48:4582:2004:b977%4]:55102  *:*                                    10632
  UDP    [fe80::b54c:7fc3:44d6:9e91%10]:1900  *:*                                    10632
  UDP    [fe80::b54c:7fc3:44d6:9e91%10]:55101  *:*                                    10632
